"stock_code"	"chi_sht"	"com_name"	"class_system"	"ind_name"
"600329.SH"	"中新药业"	"天津中新药业集团股份有限公司"	"申万三级"	"中药"
"600332.SH"	"白云山"	"广州白云山医药集团股份有限公司"	"申万三级"	"中药"
"600351.SH"	"亚宝药业"	"亚宝药业集团股份有限公司"	"申万三级"	"中药"
"600422.SH"	"昆药集团"	"昆药集团股份有限公司"	"申万三级"	"中药"
"600436.SH"	"片仔癀"	"漳州片仔癀药业股份有限公司"	"申万三级"	"中药"
"600466.SH"	"蓝光发展"	"四川蓝光发展股份有限公司"	"申万三级"	"中药"
"600479.SH"	"千金药业"	"株洲千金药业股份有限公司"	"申万三级"	"中药"
"600518.SH"	"康美药业"	"康美药业股份有限公司"	"申万三级"	"中药"
"600535.SH"	"天士力"	"天士力医药集团股份有限公司"	"申万三级"	"中药"
"600557.SH"	"康缘药业"	"江苏康缘药业股份有限公司"	"申万三级"	"中药"
"600572.SH"	"康恩贝"	"浙江康恩贝制药股份有限公司"	"申万三级"	"中药"
"600594.SH"	"益佰制药"	"贵州益佰制药股份有限公司"	"申万三级"	"中药"
"601777.SH"	"力帆股份"	"力帆实业(集团)股份有限公司"	"申万三级"	"乘用车"
"601633.SH"	"长城汽车"	"长城汽车股份有限公司"	"申万三级"	"乘用车"
"601238.SH"	"广汽集团"	"广州汽车集团股份有限公司"	"申万三级"	"乘用车"
"600805.SH"	"悦达投资"	"江苏悦达投资股份有限公司"	"申万三级"	"乘用车"
"600609.SH"	"金杯汽车"	"金杯汽车股份有限公司"	"申万三级"	"乘用车"
"600104.SH"	"上汽集团"	"上海汽车集团股份有限公司"	"申万三级"	"乘用车"
"002594.SZ"	"比亚迪"	"比亚迪股份有限公司"	"申万三级"	"乘用车"
"000927.SZ"	"一汽夏利"	"天津一汽夏利汽车股份有限公司"	"申万三级"	"乘用车"
"000800.SZ"	"一汽轿车"	"一汽轿车股份有限公司"	"申万三级"	"乘用车"
"000625.SZ"	"长安汽车"	"重庆长安汽车股份有限公司"	"申万三级"	"乘用车"
"000572.SZ"	"海马汽车"	"海马汽车集团股份有限公司"	"申万三级"	"乘用车"
"600887.SH"	"伊利股份"	"内蒙古伊利实业集团股份有限公司"	"申万三级"	"乳品"
