股票代码;公司简称;公司全称;公司英文名称;成立日期;所属地域;曾用名;法定代表人;独立董事;会计师事务所;证券事务代表;咨询服务机构;所属概念;所属行业
300172;中电环保;中电环保股份有限公司;Cec Environmental Protection Co., Ltd.;2001-01-18;江苏;--;王政福;俞汉青、韩登攀、仇向洋;立信会计师事务所(特殊普通合伙);邱佳韵;浙江六和律师事务所;海水淡化、空气治理;水务
300173;智慧松德;松德智慧装备股份有限公司;Sotech Smarter EquipmentCo., Ltd.;1997-04-18;广东;松德股份;郭景松;李进一、刘桂良、朱智伟;中瑞岳华会计师事务所(特殊普通合伙);--;北京市竞天公诚律师事务所;--;工业机械
300174;元力股份;福建元力活性炭股份有限公司;Fujian Yuanli Active Carbon Co., Ltd.;1999-05-21;福建;--;许文显;范荣玉、向建红;福建华兴会计师事务所(特殊普通合伙);--;北京尚公律师事务所;海峡西岸;通用化工品
300175;朗源股份;朗源股份有限公司;Lontrue Co., Ltd.;2002-03-26;山东;--;戚大广;张东明、梁坤、彭建云;中喜会计师事务所(特殊普通合伙);李春丽;北京市中伦律师事务所;黄河三角;食品生产（IV）
300176;鸿特精密;广东鸿特精密技术股份有限公司;Guangdong Hongteo Accurate Technology Co., Ltd.;2003-07-22;广东;鸿特精密;张林;吴春苗、徐红伟、彭春桃、何惠华;立信会计师事务所（特殊普通合伙）;袁建川;北京市万商天勤律师事务所;--;汽车零配件（IV）
300177;中海达;广州中海达卫星导航技术股份有限公司;Guangzhou Hi-target Navigation Tech Co., Ltd.;2006-06-21;广东;--;廖定海;孔小文、陆正华;立信会计师事务所（特殊普通合伙）;陈锦鸿;北京市星河律师事务所;3D打印、海工装备、卫星导航、新零售、虚拟现实;通讯设备
300178;腾邦国际;腾邦国际商业服务集团股份有限公司;Tempus Global Business Service Group Holding Ltd.;1998-04-29;广东;--;钟百胜;董秀琴、彭丽芳、郭志芹;大华会计师事务所(特殊普通合伙);--;广东金地律师事务所;电子支付、金融改革、腾讯概念、网贷概念;旅游业
300179;四方达;河南四方达超硬材料股份有限公司;SF Diamond Co., Ltd.;1997-03-05;河南;--;方海江;赵志军、李树盛、赵虎林;天职国际会计师事务所(特殊普通合伙);曹要杰;北京市衡基律师事务所;--;特种化工品
300180;华峰超纤;上海华峰超纤材料股份有限公司;Huafon Microfibre (Shanghai) Co., Ltd.;2002-10-24;上海;--;尤小平;陈南梁、吴伟明、易颜新、尹建平;立信会计师事务所（特殊普通合伙）;--;通力律师事务所;--;特种化工品
300181;佐力药业;浙江佐力药业股份有限公司;Zhejiang Jolly Pharmaceutical Co., Ltd.;2000-01-28;浙江;--;汪涛;袁彬、陈智敏、曹凯;中汇会计师事务所(特殊普通合伙);周敏;上海东方华银律师事务所;免疫治疗;制药
300182;捷成股份;北京捷成世纪科技股份有限公司;Beijing Jetsen Technology Co., Ltd.;2006-08-23;北京;--;徐子泉;王友松、马明、祝伟;天衡会计师事务所（特殊普通合伙）;袁芳;北京市竞天公诚律师事务所;融资融券;计算机服务
300183;东软载波;青岛东软载波科技股份有限公司;Qingdao Eastsoft Communication Technology Co., Ltd.;1993-06-10;山东;--;崔健;刘海英、姜省路、王元月;立信会计师事务所（特殊普通合伙）;张燕;国浩律师集团（北京）事务所;东亚自贸、黄河三角;软件
300184;力源信息;武汉力源信息技术股份有限公司;Wuhan P and S Information Technology Co., Ltd.;2001-08-09;湖北;--;赵马克;田志龙、刘启亮、李定安、刘林青;大信会计师事务所(特殊普通合伙);廖莉华;国浩律师集团(上海)事务所;安防服务、武汉规划、物联网;电子设备
300185;通裕重工;通裕重工股份有限公司;Tongyu Heavy Industry Co., Ltd.;2002-05-25;山东;--;司兴奎;海锦涛、王乐锦、许连义;中瑞岳华会计师事务所有限公司;李振;北京市国枫律师事务所;核电核能、黄河三角;工业机械
300187;永清环保;永清环保股份有限公司;Yonker Environmental Protection Co., Ltd.;2004-01-19;湖南;--;刘正军;洪源、袁定江、曹越;天职国际会计师事务所(特殊普通合伙);熊建文;湖南启元律师事务所;长株潭、空气治理、太阳能、空气净化;综合公共事业
300188;美亚柏科;厦门市美亚柏科信息股份有限公司;Xiamen Meiya Pico Information Co., Ltd.;1999-09-22;福建;--;滕达;曲晓辉、蔡志平、卢永华;致同会计师事务所(特殊普通合伙);陈琼;北京市竞天公诚律师事务所;电子支付、海峡西岸、云计算;计算机服务
300189;神农基因;海南神农基因科技股份有限公司;Hainan Shennong Gene Technology Co., Ltd.;2000-12-29;海南;神农大丰、神农基因;黄培劲;吕品图、冯克珊、欧学旺;立信会计师事务所(特殊普通合伙);许勇;北京市中伦律师事务所;海南自贸、乡村振兴;农业与渔业
300190;维尔利;江苏维尔利环保科技股份有限公司;Jiangsu Welle Environmental Co., Ltd.;2003-02-12;江苏;--;李月中;吴海锁、赵旦、付铁;信永中和会计师事务所有限责任公司;--;北京市君合律师事务所;--;综合公共事业
300191;潜能恒信;潜能恒信能源技术股份有限公司;Sino Geophysical Co., Ltd.;2003-11-10;北京;--;周锦明;陈洁、王月永、陈永武;瑞华会计师事务所(特殊普通合伙);--;北京市竞天公诚律师事务所;可燃冰、融资融券、页岩气;采油设备与服务
300192;科斯伍德;苏州科斯伍德油墨股份有限公司;Suzhou Kingswood Printing Ink Co., Ltd.;2003-01-14;江苏;--;吴贤良;袁文雄、俞雪华、刘凤元;立信会计师事务所（特殊普通合伙）;王慧;国浩律师集团(上海)事务所;--;通用化工品
300193;佳士科技;深圳市佳士科技股份有限公司;Shenzhen Jasic Technology Co., Ltd.;2005-09-12;广东;--;潘磊;马敬仁、张汉斌、刘泽华;大华会计师事务所(特殊普通合伙);麻丹华;北京市中伦律师事务所;网贷概念;工业机械
300194;福安药业;福安药业(集团)股份有限公司;Fuan Pharmaceutical (Group) co.,Ltd.;2004-02-25;重庆;--;汪天祥;黎明、李群英、马赟;北京永拓会计师事务所(特殊普通合伙);陶亚东;上海东方华银律师事务所;成渝特区、仿制药;制药
300195;长荣股份;天津长荣科技集团股份有限公司;Masterwork Group Co., Ltd.;2007-12-07;天津;--;李莉;刘治海、于雳、李全;信永中和会计师事务所(特殊普通合伙);王岩;广东晟典律师事务所;--;工业机械
300196;长海股份;江苏长海复合材料股份有限公司;Jiangsu Changhai Composite Materials Co., Ltd.;2000-05-17;江苏;--;杨国文;张燕、丑世栋、蔡桂如;天健会计师事务所;徐珊;国浩律师集团(北京)事务所;保障房;特种化工品
300197;铁汉生态;深圳市铁汉生态环境股份有限公司;Shenzhen Techand Ecology and Environment Co., Ltd.;2001-08-07;广东;--;陈阳春;麻云燕、李敏、刘升文;广东正中珠江会计师事务所(特殊普通合伙);黄美芳;国浩律师集团（深圳）事务所;风沙治理、乡村振兴、网贷概念;建筑施工
300198;纳川股份;福建纳川管材科技股份有限公司;Fujian Newchoice Pipe Technology Co., Ltd.;2003-06-11;福建;--;陈志江;陈岱松、邱晓华、许年行;福建华兴会计师事务所(特殊普通合伙);姚俊宾;福建君立律师事务所;海峡西岸;建材与构件
300199;翰宇药业;深圳翰宇药业股份有限公司;Hybio Pharmaceutical Co., Ltd.;2003-04-02;广东;--;曾少贵;曹叠云、王菊芳、李瑶;立信会计师事务所（特殊普通合伙）;熊慧;北京市君合律师事务所;融资融券;制药
300200;高盟新材;北京高盟新材料股份有限公司;Beijing Comens New Materials Co., Ltd.;1999-07-22;北京;--;何宇飞;杨栩、黄书敏、龙成凤;大信会计师事务所(特殊普通合伙);邓娜学;北京市天银律师事务所;铁路基建;特种化工品
300201;海伦哲;徐州海伦哲专用车辆股份有限公司;Xuzhou Handler Special Vehicle Co., Ltd.;2005-03-21;江苏;--;丁剑平;朱华、乔吉海、耿成轩;天健会计师事务所（特殊普通合伙）;陈慧源;国浩律师集团（深圳）事务所;--;工业机械
300202;聚龙股份;聚龙股份有限公司;Julong Co., Ltd.;2004-03-09;辽宁;--;柳永诠;王振山、马国强、刘晓晶;华普天健会计师事务所(特殊普通合伙);邹允;德恒(北京)律师事务所;融资融券;工业机械
300203;聚光科技;聚光科技(杭州)股份有限公司;Focused Photonics (Hangzhou) , Inc.;2002-01-04;浙江;--;叶华俊;彭华、徐亚明、林宪;天健会计师事务所(特殊普通合伙);王春伟;通力律师事务所;空气治理、融资融券、食品安全、物联网、空气净化;电子设备
300204;舒泰神;舒泰神(北京)生物制药股份有限公司;Staidson (Beijing) Biopharmaceuticals Co., Ltd.;2002-08-16;北京;--;周志文;赵家良、吴松生、龚兆龙;天衡会计师事务所(特殊普通合伙);--;北京市康达律师事务所;--;生物科技
300205;天喻信息;武汉天喻信息产业股份有限公司;Wuhan Tianyu Information Industry Co., Ltd.;1999-08-06;湖北;--;张新访;余明桂、孙震、孙颉;中审众环会计师事务所(特殊普通合伙);何娟;北京市嘉源律师事务所;电子支付、融资融券、武汉规划、新零售;电子设备
300206;理邦仪器;深圳市理邦精密仪器股份有限公司;Edan Instruments, Inc.;1995-08-02;广东;--;张浩;吴瑛、郑全录、刘雪生;信永中和会计师事务所有限责任公司;--;北京市中伦律师事务所;--;医疗设备
300207;欣旺达;欣旺达电子股份有限公司;Sunwoda Electronic Co., Ltd.;1997-12-09;广东;--;王威;柳木华、钟明霞;立信会计师事务所(特殊普通合伙);黄颖;广东信达律师事务所;锂电池、石墨烯、小米概念、网贷概念;电子电气组件与设备
300208;恒顺众昇;青岛市恒顺众昇集团股份有限公司;Qingdao Hengshun Zhongsheng Group Co.,Ltd.;1998-03-10;山东;恒顺电气;贾晓钰;孙建强、徐茂顺、肖红英、傅瑜;中兴华会计师事务所(特殊普通合伙);赵子明;北京市天银律师事务所;东亚自贸、黄河三角、物联网、稀缺资源;电子电气组件与设备
300209;天泽信息;天泽信息产业股份有限公司;Tianze Information Industry Inc.;2000-05-25;江苏;--;陈进;吴建斌、王全胜、倪慧萍;立信会计师事务所(特殊普通合伙);杜丹;上海市广发律师事务所;充电桩、汽车电子、物联网、智能交通;移动通信服务
300210;森远股份;鞍山森远路桥股份有限公司;Anshan Senyuan Road and Bridge Co., Ltd.;2004-10-25;辽宁;--;孙斌武;佟桂萱、崔奇;华普天健会计师事务所(特殊普通合伙);李艳微;北京市观韬律师事务所;3D打印;工业机械
300211;亿通科技;江苏亿通高科技股份有限公司;Jiangsu Yitong High-tech Co., Ltd.;2001-08-15;江苏;--;王振洪;杨金才、惠彦、周俊;众华会计师事务所（特殊普通合伙）;殷丽;上海东方华银律师事务所;安防服务;通讯设备
300212;易华录;北京易华录信息技术股份有限公司;Beijing E-hualu Information Technology Co., Ltd.;2001-04-30;北京;--;韩建国;吴晶妹、梁云凤、杨晓光;中天运会计师事务所有限公司;--;大成律师事务所;融资融券、智能交通、京津冀;计算机服务
300213;佳讯飞鸿;北京佳讯飞鸿电气股份有限公司;Beijing Jiaxun Feihong Electrical Co., Ltd.;1995-01-26;北京;--;林菁;褚建国、陈刚、卞师军、薛军、王泽莹;信永中和会计师事务所（特殊普通合伙）;孔祥星;北京市中伦律师事务所;安防服务、铁路基建、物联网;通讯设备
300214;日科化学;山东日科化学股份有限公司;Shandong Rike Chemical Co., Ltd.;2003-12-26;山东;--;彭国锋;杜业勤、刘国军;山东天恒信有限责任会计师事务所;--;北京市康达律师事务所;黄河三角;特种化工品
300215;电科院;苏州电器科学研究院股份有限公司;Suzhou Electrical Apparatus Science Academy Co., Ltd.;1997-04-14;江苏;--;胡德霖;陈议、王薇、王利剑;天衡会计师事务所(特殊普通合伙);--;上海市锦天城律师事务所;--;电子电气组件与设备
300217;东方电热;镇江东方电热科技股份有限公司;Zhenjiang Dongfang Electric Heating Technology Co., Ltd.;2000-02-02;江苏;--;谭荣生;陈平、许世可、岳修峰;大华会计师事务所(特殊普通合伙);吕树栋;江苏世纪同仁律师事务所;海工装备;电子电气组件与设备
300218;安利股份;安徽安利材料科技股份有限公司;ANHUI ANLI MATERIAL TECHNOLOGY CO., LTD.;1994-07-12;安徽;--;姚和平;李晓玲、李健、吕斌、杜杰;大华会计师事务所(特殊普通合伙);徐红;安徽天禾律师事务所;皖江区域;特种化工品
300219;鸿利智汇;鸿利智汇集团股份有限公司;Hongli Zhihui Group Co., Ltd.;2004-05-31;广东;鸿利光电;李国平;全健、万晶、王建民;中汇会计师事务所(特殊普通合伙);刘冬丽;国浩律师集团（广州）事务所;--;电子电气组件与设备
300220;金运激光;武汉金运激光股份有限公司;Wuhan Golden Laser Co., Ltd.;2005-03-11;湖北;--;梁萍;施先旺、李秉成;大华会计师事务所(特殊普通合伙);石慧;广东信达律师事务所;3D打印、武汉规划、新零售;电子设备
300221;银禧科技;广东银禧科技股份有限公司;Guangdong Silver Age Sci and Tech Co., Ltd.;1997-08-08;广东;--;谭颂斌;朱桂龙、张志勇、张峥、肖晓康;信永中和会计师事务所有限责任公司;陈玉梅;北京市国枫律师事务所;3D打印、小米概念;通用化工品
300222;科大智能;科大智能科技股份有限公司;CSG Smart Science and Technology Co., Ltd.;2002-11-27;上海;--;黄明松;徐枞巍、卢贤榕、毛时法;华普天健会计师事务所(特殊普通合伙);王家伦;北京市天银律师事务所;充电桩;电子电气组件与设备
300223;北京君正;北京君正集成电路股份有限公司;Ingenic Semiconductor Co., Ltd.;2005-07-15;北京;--;刘强;梁云凤、刘越;北京兴华会计师事务所(特殊普通合伙);白洁;北京市中伦律师事务所;--;电子电气组件与设备
300224;正海磁材;烟台正海磁性材料股份有限公司;Yantai Zhenghai Magnetic Material Co., Ltd.;2000-04-06;山东;--;秘波海;柳喜军、殷承良、于建青;山东和信会计师事务所;于在海、孙伟南;国浩律师集团（北京）事务所;黄河三角、稀土永磁;电子电气组件与设备
300225;金力泰;上海金力泰化工股份有限公司;Shanghai Kinlita Chemical Co., Ltd.;1993-12-30;上海;--;潘恺;赵一平、董树荣、张立;上海众华沪银会计师事务所有限公司;王晓峰;国浩律师集团(上海)事务所;--;特种化工品
300226;上海钢联;上海钢联电子商务股份有限公司;Shanghai Ganglian E-commerce Holdings Co., Ltd.;2000-04-30;上海;--;朱军红;朱辉、马勇、王恒忠、胡俞越;中瑞岳华会计师事务所(特殊普通合伙);谢芳;上海市瑛明律师事务所;融资融券、网贷概念;互联网
300227;光韵达;深圳光韵达光电科技股份有限公司;Shenzhen Sunshine Laser and Electronics Technology Co. Ltd.;2005-10-25;广东;--;侯若洪;王肇文、张琦、贺正生;瑞华会计师事务所(特殊普通合伙);范荣;北京市竞天公诚律师事务所;3D打印;电子电气组件与设备
300228;富瑞特装;张家港富瑞特种装备股份有限公司;Zhangjiagang Furui Special Equipment Co. Ltd.;2003-08-05;江苏;--;邬品芳;刘伦善、许敬东、汪激清;江苏公证天业会计师事务所(特殊有限合伙);于清清;通力律师事务所;燃料电池、页岩气;工业机械
300229;拓尔思;北京拓尔思信息技术股份有限公司;Beijing TRS Information Technology Co., Ltd.;1993-02-18;北京;--;李渝勤;王汉坡、俞放虹、张绍岩;立信会计师事务所(特殊普通合伙);付静;北京市经纬律师事务所;云计算;软件
300230;永利股份;上海永利带业股份有限公司;Shanghai Yongli Belting Co., Ltd.;2002-01-10;上海;永利带业;史佩浩;王蔚松、张杰、张泽传;大华会计师事务所(特殊普通合伙);魏冉;北京市天银律师事务所;小米概念;通用化工品
300231;银信科技;北京银信长远科技股份有限公司;Beijing Trustfar Technology Co., Ltd.;2004-05-31;北京;--;詹立雄;鲍卉芳、樊行健;立信会计师事务所(特殊普通合伙);易芳;北京市金杜律师事务所;--;计算机服务
300232;洲明科技;深圳市洲明科技股份有限公司;Unilumin Group Co., Ltd.;2004-10-26;广东;--;林洺锋;梁文昭、窦林平、胡左浩;天健会计师事务所(特殊普通合伙);袁瑜珠;北京市康达律师事务所;新零售;电子电气组件与设备
300233;金城医药;山东金城医药股份有限公司;Shandong Jincheng Pharmaceutical Group Co., Ltd.;2004-01-12;山东;--;赵叶青;赵耀、倪浩嫣、周建平;大信会计师事务有限公司;倪艳莉;国浩律师集团(北京)事务所;黄河三角、石墨烯;制药
300234;开尔新材;浙江开尔新材料股份有限公司;Zhejiang Kaier New Materials Co., Ltd.;2003-04-29;浙江;--;邢翰学;王泽霞、茅铭晨、赵虹;立信会计师事务所（特殊普通合伙）;盛蕾;上海市锦天城律师事务所;--;建材与构件
300235;方直科技;深圳市方直科技股份有限公司;Shenzhen Kingsun Science and Technology Co., Ltd.;1993-02-19;广东;--;黄元忠;陈伟强、刘勇、许鲁光;大华会计师事务所(特殊普通合伙);钟玲;广东华商律师事务所;--;软件
300236;上海新阳;上海新阳半导体材料股份有限公司;Shanghai Sinyang Semiconductor Materials Co., Ltd.;2004-05-12;上海;--;王福祥;秦正余、徐秀法、蒋荃;众华会计师事务所(特殊普通合伙);方云英;大成律师事务所;--;特种化工品
300237;美晨生态;山东美晨生态环境股份有限公司;Shandong Meichen Ecology and Environment Co., Ltd.;2004-11-08;山东;美晨科技;郑召伟;金建显、郭林、赵向阳;大信会计师事务所;张云霞;北京市浩天信和律师事务所;黄河三角;建筑施工
300238;冠昊生物;广东冠昊生物科技股份有限公司;Guanhao Biotech Co., Ltd.;1999-10-22;广东;--;周利军;卫建国、符启林、黄健柏;立信会计师事务所(特殊普通合伙);陈茜;国浩律师集团（广州）事务所;免疫治疗;医疗设备
300239;东宝生物;包头东宝生物技术股份有限公司;Baotou Dongbao Bio-tech Co., Ltd.;1997-03-12;内蒙古;--;王军;俞有光、王大宏、哈斯阿古拉;大华会计师事务所(特殊普通合伙);单华夷;经世律师事务所;--;生物科技
300240;飞力达;江苏飞力达国际物流股份有限公司;Jiangsu Feiliks International Logistics Inc.;1993-04-22;江苏;--;沈黎明;赵一飞、李林海、赵子夜;江苏公证天业会计师事务所(特殊普通合伙);李娜;北京市京都律师事务所;--;商业辅助服务
300241;瑞丰光电;深圳市瑞丰光电子股份有限公司;Shenzhen Refond Optoelectronics Co., Ltd.;2000-01-24;广东;--;龚伟斌;罗桃、叶剑生、王东芹;致同会计师事务所(特殊普通合伙);刘雅芳;北京市凯文律师事务所;--;电子电气组件与设备
300242;明家联合;广东明家联合移动科技股份有限公司;MIG Unmobi Technology Inc.;2002-05-22;广东;明家科技;郑毅;高海军、赖玉珍、林卓彬;中喜会计师事务所(特殊普通合伙);刘琪;国信联合律师事务所;--;商业辅助服务
300243;瑞丰高材;山东瑞丰高分子材料股份有限公司;Shandong Ruifeng Chemical Co., Ltd.;2001-10-26;山东;--;周仕斌;董华、赵耀、王晓川、缪恒生;上海上会会计师事务所有限公司;朱西海;北京华联律师事务所;黄河三角;特种化工品
300244;迪安诊断;浙江迪安诊断技术股份有限公司;Dian Diagnostics Group Co., Ltd.;2001-09-05;浙江;--;陈海斌;丁国其、蔡江南、陈威如;立信会计师事务所（特殊普通合伙）;桑赫;北京市中伦律师事务所;新零售;医疗保健服务
300245;天玑科技;上海天玑科技股份有限公司;Shanghai DragonNet Technology Co., Ltd.;2001-10-24;上海;--;陆文雄;徐宇舟、姚宝敬、庞金伟;立信会计师事务所（特殊普通合伙）;余美伊;上海市锦天城律师事务所;云计算;软件
300246;宝莱特;广东宝莱特医用科技股份有限公司;Guangdong Biolight Meditech Co., Ltd.;1993-06-28;广东;--;燕金元;陈思平、郑欢雪、谢春璞、何彦峰;大华会计师事务所(特殊普通合伙);李韵妮;通力律师事务所;--;医疗设备
300247;乐金健康;安徽乐金健康科技股份有限公司;Anhui Lucky Health Technology Co., Ltd.;1995-04-21;安徽;桑乐金;金道明;张大林、汪渊、周逢满;华普天健会计师事务所(北京)有限公司;张蔚心;安徽承义律师事务所;皖江区域;耐用消费品
300248;新开普;新开普电子股份有限公司;Newcapec Electronics Co., Ltd.;2000-04-25;河南;--;杨维国;毕会静、刘汴生、王玉辉、张英瑶;立信会计师事务所(特殊普通合伙);赵鑫;北京市国枫律师事务所;电子支付、物联网;软件
300249;依米康;依米康科技集团股份有限公司;Yimikang Tech. Group. Co., Ltd.;2002-09-12;四川;--;张菀;黄兴旺、陈维亮;信永中和会计师事务所(特殊普通合伙);张敏;北京市康达律师事务所;成渝特区、空气治理;工业机械
300250;初灵信息;杭州初灵信息技术股份有限公司;Hangzhou CNCR-IT Co., Ltd.;1999-12-10;浙江;--;洪爱金;张大亮、方建中、严思恩;中汇会计师事务所有限公司;郑未荣;北京市观韬律师事务所;4G概念、5G概念、宽带提速、三网融合;通讯设备
300251;光线传媒;北京光线传媒股份有限公司;Beijing Enlight Media Co., Ltd.;2000-04-24;北京;--;王长田;王雪春、龚磊、陈少峰;北京兴华会计师事务所(特殊普通合伙);徐楠楠;北京市国枫律师事务所;IP变现、融资融券、三网融合;广播与娱乐
300252;金信诺;深圳金信诺高新技术股份有限公司;Kingsignal Technology Co., Ltd.;2002-04-02;广东;--;黄昌华;胡左浩、屈先富、赵登平;中汇会计师事务所(特殊普通合伙);吕晓明;北京市金杜律师事务所;--;电子电气组件与设备
300253;卫宁健康;卫宁健康科技集团股份有限公司;Winning Health Technology GroupCo.,Ltd.;2004-04-07;上海;卫宁软件;周炜;于成磊、俞建春、姚宝敬;华普天健会计师事务所(北京)有限公司;徐子同;上海市广发律师事务所;融资融券;软件
300254;仟源医药;山西仟源医药集团股份有限公司;SHANXI C&Y PHARMACEUTICAL GROUP CO.LTD;2005-03-23;山西;仟源制药;赵群;黄娟、佟成生、王军;立信会计师事务所(特殊普通合伙);薛媛媛;国浩律师集团(上海)事务所;--;制药
300255;常山药业;河北常山生化药业股份有限公司;Hebei Changshan Biochemical Pharmaceutical Co., Ltd.;2000-09-28;河北;--;高树华;王建房、王佐林、杜冠华;中喜会计师事务所有限责任公司;--;北京市竞天公诚律师事务所;--;生物科技
300256;星星科技;浙江星星瑞金科技股份有限公司;Zhejiang Firstar Panel Technology Co., Ltd.;2003-09-25;浙江;--;王先玉;俞毅、王太平、吴丹枫;大信会计师事务所(特殊普通合伙);赵金伟;北京市万商天勤律师事务所;触摸屏;电子电气组件与设备
300257;开山股份;浙江开山压缩机股份有限公司;Zhejiang Kaishan Compressor Co., Ltd.;2002-07-11;浙江;--;曹克坚;王秋潮、陈希琴、束鹏程;天健会计师事务所(特殊普通合伙);姜珊珊;国浩律师集团（杭州）事务所;地热能、融资融券;工业机械
300258;精锻科技;江苏太平洋精锻科技股份有限公司;Jiangsu Pacific Precision Forging Co., Ltd.;1992-12-09;江苏;--;夏汉关;郭民、王长明、谢谈;中瑞岳华会计师事务所(特殊普通合伙);田海燕;上海市锦天城律师事务所;--;汽车零配件（IV）
300259;新天科技;新天科技股份有限公司;SUNTRONT TECHNOLOGY CO.LTD;2000-11-02;河南;--;费战波;迟国敬、杜海波、张英瑶;中勤万信会计师事务所(特殊普通合伙);--;北京市君合律师事务所;物联网;工业机械
300260;新莱应材;昆山新莱洁净应用材料股份有限公司;Kunshan Kinglai Hygienic Materials Co., Ltd.;2000-07-12;江苏;--;李水波;陈传明、朱慈蕴、周逢满、王秀浦;大华会计师事务所(特殊普通合伙);朱孟勇;北京市国枫律师事务所;食品安全;工业机械
300261;雅本化学;雅本化学股份有限公司;ABA Chemicals Corporation;2006-01-13;江苏;--;蔡彤;徐丹、叶建芳、李元旭;上海上会会计师事务所有限公司;朱佩芳;北京市国枫律师事务所;--;特种化工品
300262;巴安水务;上海巴安水务股份有限公司;SafBon Water Service (Holding) Inc., Shanghai;1999-03-22;上海;--;张春霖;刘涛、费一文、顾强;众华会计师事务所(特殊普通合伙);吴明朗;上海市广发律师事务所;海水淡化;综合公共事业
300263;隆华节能;洛阳隆华传热节能股份有限公司;Luoyang Longhua Heat Transfer & Energy Conservation Co.,Ltd.;1995-07-05;河南;隆华传热;李占明;张霞、张莉、席升阳;北京兴华会计师事务所有限责任公司;张烨;北京市君泽君律师事务所;地热能;工业机械
300264;佳创视讯;深圳市佳创视讯技术股份有限公司;AVIT Ltd.;2000-10-22;广东;--;陈坤江;刘鹏、朱鸣学、李挥;众华会计师事务所(特殊普通合伙);李剑虹;北京市金诚同达律师事务所;三网融合;通讯设备
300265;通光线缆;江苏通光电子线缆股份有限公司;Jiangsu Tongguang Electronic Wire and Cable Co., Ltd.;2002-01-29;江苏;--;张忠;毛庆传、何贤杰、唐正国;致同会计师事务所(特殊普通合伙);蔡陈成;大成律师事务所;--;电子电气组件与设备
300266;兴源环境;兴源环境科技股份有限公司;Xingyuan Environment Technology Co., Ltd.;1992-07-15;浙江;兴源过滤;周立武;杭世珺、王伟、任丽萍;中汇会计师事务所(特殊普通合伙);刘慧;观韬律师事务所;--;综合公共事业
300267;尔康制药;湖南尔康制药股份有限公司;Hunan Er-kang Pharmaceutical Co., Ltd.;2003-10-22;湖南;--;帅放文;许中缘、王健、左田芳、张维淳、原红旗、陈明皓;天健会计师事务所(特殊普通合伙);范艺;湖南启元律师事务所;长株潭、新零售;制药
300268;佳沃股份;佳沃农业开发股份有限公司;JOYVIO AGRICULTURE DEVELOPMENT CO.，LTD;2003-05-08;湖南;万福生科;汤捷;邹定民、胡宗亥、冷智刚;瑞华会计师事务所(特殊普通合伙);--;湖南博鳌律师事务所;长株潭;农业与渔业
300269;联建光电;深圳市联建光电股份有限公司;Shenzhen Liantronics Co., Ltd.;2003-04-14;广东;--;刘虎军;肖志兴、李小芬、王成义、詹伟哉;大华会计师事务所(特殊普通合伙);--;北京市金杜律师事务所;--;电子设备
300270;中威电子;杭州中威电子股份有限公司;Joyware Electronics Co., Ltd.;2000-03-14;浙江;--;石旭刚;刘济林、蒋政村、于永生;天健会计师事务所(特殊普通合伙);胡慧;德恒(北京)律师事务所;安防服务、智能交通;通讯设备
300271;华宇软件;北京华宇软件股份有限公司;Beijing Thunisoft Corporation Limited;2001-06-18;北京;紫光华宇;邵学;甘培忠、王琨、朱恒源;致同会计师事务所(特殊普通合伙);遇晗;北京市金杜律师事务所;食品安全;计算机服务
300272;开能环保;上海开能环保设备股份有限公司;Shanghai Canature Environmental Products Co., Ltd.;2001-02-27;上海;--;赵笠钧;王高、陈智海、谢荣兴;安永华明会计师事务所(特殊普通合伙);陆董英;国浩律师集团(上海)事务所;免疫治疗;工业机械
300273;和佳股份;珠海和佳医疗设备股份有限公司;Zhuhai Hokai Medical Instruments Co., Ltd.;1996-04-01;广东;--;郝镇熙;刘兴祥、苏清卫、徐焱军;国富浩华会计师事务所(特殊普通合伙);张王均;上海精诚申衡律师事务所;免疫治疗、融资融券;医疗设备
300274;阳光电源;阳光电源股份有限公司;Sungrow Power Supply Co., Ltd.;1997-11-28;安徽;--;曹仁贤;朱丹、蒋敏、李宝山;华普天健会计师事务所(北京)有限公司;康茂磊;通力律师事务所;充电桩、融资融券、太阳能、皖江区域;电子电气组件与设备
300275;梅安森;重庆梅安森科技股份有限公司;Chongqing Mas Sci and Tech. Co., Ltd.;2003-05-21;重庆;--;马焰;武文生、李定清、唐绍均;大信会计师事务所(特殊普通合伙);林键;上海市瑛明律师事务所;安防服务、成渝特区、物联网、乡村振兴;计算机服务
300276;三丰智能;湖北三丰智能输送装备股份有限公司;Hubei Sanfeng Intelligent Conveying Equipment Co., Ltd.;1999-09-23;湖北;--;朱汉平;黄新奎、刘林青、朱永平;大信会计师事务所(特殊普通合伙);尹秀华;北京市国枫律师事务所;--;工业机械
300277;海联讯;深圳海联讯科技股份有限公司;Shenzhen Hirisun Technology Incorporated;2000-01-04;广东;--;王天青;程浩忠、龙哲;亚太(集团)会计师事务所(特殊普通合伙);陈翔;北京市天银律师事务所;--;计算机服务
300278;华昌达;华昌达智能装备集团股份有限公司;Huachangda Intelligent Equipment Group Co., Ltd.;2003-02-27;湖北;--;陈泽;郑春美、戴黔锋、徐立云;大信会计师事务所(特殊普通合伙);亢冰;德恒(北京)律师事务所;--;工业机械
