股票代码;公司简称;公司全称;公司英文名称;成立日期;所属地域;曾用名;法定代表人;独立董事;会计师事务所;证券事务代表;咨询服务机构;所属概念;所属行业
000031;中粮地产;中粮地产（集团）股份有限公司;COFCO Property (Group) Co., Ltd.;1993-09-26;广东;深宝恒A、G宝恒、G中粮地;周政;孟焰、王涌、顾云昌;瑞华会计师事务所(特殊普通合伙);范步登;信达律师事务所;保障房、融资融券;不动产投资开发
000032;深桑达A;深圳市桑达实业股份有限公司;Shenzhen SED Industry Co., Ltd.;1993-09-26;广东;深桑达A、G深桑达;周剑;江小军、汪军民、宋晓风;立信会计师事务所;李红梅;广东海埠律师事务所;电子支付、重组概念;商业辅助服务
000034;神州数码;神州数码集团股份有限公司;Digital China Group Co., Ltd.;1993-12-18;广东;ST深华宝、深华宝A、ST深华宝、深华宝、深信泰丰、ST深泰、*ST深泰、S*ST深泰、SST深泰、ST深泰、*ST深泰、ST深泰、深信泰丰;郭为;朱锦梅、张志强、张宏江、张连起;信永中和会计师事务所(特殊普通合伙);孙丹梅;;--;通讯设备
000035;中国天楹;中国天楹股份有限公司;China Tianying Inc.;1994-01-08;江苏;中科健A、*ST科健、ST科健、*ST科健、S*ST科健、*ST科健、ST科健、ST科健、*ST科健、ST科健、*ST科健、中科健;严圣军;俞汉青、洪剑峭、赵亚娟;众环海华会计师事务所(特殊普通合伙);陈云;广东经天律师事务所;重组概念;综合公共事业
000036;华联控股;华联控股股份有限公司;China Union Holdings Ltd.;1994-01-29;广东;深惠中A、华联控股、G华联、华联控股、*ST华控;董炳根;张淼洪、朱力、刘战红、刘秀焰;大华会计师事务所(特殊普通合伙);沈华;广东信达律师事务所;融资融券;不动产投资开发
000037;深南电A;深圳南山热电股份有限公司;Shenzhen Nanshan Power Company Limited;1994-04-19;广东;深南电A、G南电、深南电A、*ST南电A;李新威;廖南钢、陈泽桐、莫建民;瑞华会计师事务所(特殊普通合伙);--;德恒(深圳)律师事务所;含B股、ST板块;电力（IV）
000038;深大通;深圳大通实业股份有限公司;Shenzhen Capstone Industrial Co., Ltd.;1994-02-02;广东;深大通A、ST深大通、深大通A、*ST大通、S*ST大通、*ST大通;郝亮;张世兴、赵息、皇甫晓涛;国富浩华会计师事务所(特殊普通合伙);吴文涛;;--;商业辅助服务
000039;中集集团;中国国际海运集装箱（集团）股份有限公司;China International Marine Containers (Group) Co., Ltd.;1992-09-30;广东;中集集团、G中集;王宏;王桂埙、潘正启、潘承伟;普华永道会计师事务所;王心九;北京市赛德天勤律师事务所;海工装备、含H股、海水淡化、融资融券;建材与构件
000040;东旭蓝天;东旭蓝天新能源股份有限公司;Tunghsu Azure Renewable Energy Co., Ltd.;1994-06-15;广东;深鸿基A、ST鸿基、*ST鸿基、ST鸿基、深鸿基A、G深鸿基、深鸿基、宝安地产;朱胜利;李东昕、董志勇、陈爱珍、王立勇;瑞华会计师事务所(特殊普通合伙);刘莹;广东晟典律师事务所;太阳能;建筑施工
000042;中洲控股;深圳市中洲投资控股股份有限公司;SHENZHEN CENTRALCON INVESTMENT HOLDING CO. LTD;1994-09-03;广东;深长城A、G深长城、深长城;姚日波;钟鹏翼、张英、张立民;德勤华永会计师事务所（特殊普通合伙）;黄光立;;--;不动产投资开发
