"start_stock_code"	"start_chi_sht"	"start_com_name"	"start_com_type"	"end_stock_code"	"end_chi_sht"	"end_com_name"	"end_com_type"	"output_funt"	"report_dt"
"000018.SZ"	"神州长城"	"神州长城股份有限公司"	"深A"	""	""	"中电建建筑集团有限公司"	"非上市"	"90201.83"	"2016-12-31"
"000021.SZ"	"深科技"	"深圳长城开发科技股份有限公司"	"深A"	""	""	"澳大利亚瑞思迈集团"	"非上市"	"70621.59"	"2016-12-31"
"000021.SZ"	"深科技"	"深圳长城开发科技股份有限公司"	"深A"	""	""	"华为技术有限公司"	"非上市"	"110754.14"	"2016-12-31"
"000023.SZ"	"深天地A"	"深圳市天地(集团)股份有限公司"	"深A"	""	""	"广东五华二建工程有限公司"	"非上市"	"3507.73"	"2017-12-31"
"000023.SZ"	"深天地A"	"深圳市天地(集团)股份有限公司"	"深A"	""	""	"中国建筑第四工程局有限公司"	"非上市"	"4798.47"	"2017-12-31"
"000023.SZ"	"深天地A"	"深圳市天地(集团)股份有限公司"	"深A"	""	""	"广西华业建筑工程有限公司"	"非上市"	"6156.33"	"2017-12-31"
"000023.SZ"	"深天地A"	"深圳市天地(集团)股份有限公司"	"深A"	""	""	"二十三冶集团第二工程有限公司"	"非上市"	"7561.36"	"2017-12-31"
"000025.SZ"	"特力A"	"深圳市特力机电股份有限公司"	"深A"	""	""	"深圳市星光达珠宝首饰实业有限公司"	"非上市"	"307.62"	"2017-12-31"
"000025.SZ"	"特力A"	"深圳市特力机电股份有限公司"	"深A"	""	""	"深圳市鸿佳宜投资有限公司"	"非上市"	"350.45"	"2017-12-31"
"000025.SZ"	"特力A"	"深圳市特力机电股份有限公司"	"深A"	""	""	"深圳市义全投资顾问有限公司"	"非上市"	"441"	"2017-12-31"
"000025.SZ"	"特力A"	"深圳市特力机电股份有限公司"	"深A"	""	""	"深圳市仁孚特力汽车服务有限公司"	"非上市"	"504.76"	"2017-12-31"
"000025.SZ"	"特力A"	"深圳市特力机电股份有限公司"	"深A"	""	""	"深圳市佳锋城实业发展有限公司"	"非上市"	"514.85"	"2017-12-31"
"000026.SZ"	"飞亚达A"	"飞亚达(集团)股份有限公司"	"深A"	""	""	"永安百货有限公司"	"非上市"	"7415.88"	"2017-12-31"
"000026.SZ"	"飞亚达A"	"飞亚达(集团)股份有限公司"	"深A"	""	""	"平和堂(中国)有限公司"	"非上市"	"7520.57"	"2017-12-31"
