"stock_code"	"chi_sht"	"com_name"	"block_name"
"000049.SZ"	"德赛电池"	"深圳市德赛电池科技股份有限公司"	"3G通讯技术"
"002261.SZ"	"拓维信息"	"拓维信息系统股份有限公司"	"3G通讯技术"
"000733.SZ"	"振华科技"	"中国振华(集团)科技股份有限公司"	"3G通讯技术"
"000997.SZ"	"新大陆"	"福建新大陆电脑股份有限公司"	"3G通讯技术"
"002089.SZ"	"新海宜"	"新海宜科技集团股份有限公司"	"3G通讯技术"
"002313.SZ"	"日海通讯"	"深圳日海通讯技术股份有限公司"	"3G通讯技术"
"002544.SZ"	"杰赛科技"	"广州杰赛科技股份有限公司"	"3G通讯技术"
"300038.SZ"	"梅泰诺"	"北京梅泰诺通信技术股份有限公司"	"3G通讯技术"
"600105.SH"	"永鼎股份"	"江苏永鼎股份有限公司"	"3G通讯技术"
"000586.SZ"	"汇源通信"	"四川汇源光通信股份有限公司"	"3G通讯技术"
"600130.SH"	"波导股份"	"宁波波导股份有限公司"	"3G通讯技术"
"600120.SH"	"浙江东方"	"浙江东方集团股份有限公司"	"3G通讯技术"
"600756.SH"	"浪潮软件"	"浪潮软件股份有限公司"	"3G通讯技术"
"000016.SZ"	"深康佳A"	"康佳集团股份有限公司"	"3G通讯技术"
"600498.SH"	"烽火通信"	"烽火通信科技股份有限公司"	"3G通讯技术"
"000070.SZ"	"特发信息"	"深圳市特发信息股份有限公司"	"3G通讯技术"
"002446.SZ"	"盛路通信"	"广东盛路通信科技股份有限公司"	"3G通讯技术"
"300002.SZ"	"神州泰岳"	"北京神州泰岳软件股份有限公司"	"3G通讯技术"
"600355.SH"	"精伦电子"	"精伦电子股份有限公司"	"3G通讯技术"
"002049.SZ"	"紫光国微"	"紫光国芯微电子股份有限公司"	"3G通讯技术"
"002025.SZ"	"航天电器"	"贵州航天电器股份有限公司"	"3G通讯技术"
"600677.SH"	"航天通信"	"航天通信控股集团股份有限公司"	"3G通讯技术"
"300312.SZ"	"邦讯技术"	"邦讯技术股份有限公司"	"4G"
"002491.SZ"	"通鼎互联"	"通鼎互联信息股份有限公司"	"4G"
