000025,"{'曾用名': '深特力A、ST特力A、GST特力A、G特力A', '独立董事': '李祥军、韦少辉、纪辉彬', '咨询服务机构': '通商律师事务所', '成立日期': '1993-04-18', '公司简称': '特力A', '证券事务代表': '孙博伦', '会计师事务所': '瑞华会计师事务所(特殊普通合伙)', '公司全称': '深圳市特力机电股份有限公司', '股票代码': '000025', '所属行业': '专业零售', '法定代表人': '吕航', '公司英文名称': 'Shenzhen Tellus Holding Co., Ltd.', '所属地域': '广东', '所属概念': '含B股'}"
000026,"{'曾用名': '飞亚达A、S飞亚达A', '独立董事': '章顺文、王岩、张宏光', '咨询服务机构': '', '成立日期': '1993-04-18', '公司简称': '飞亚达A', '证券事务代表': '张勇', '会计师事务所': '瑞华会计师事务所(特殊普通合伙)', '公司全称': '飞亚达(集团)股份有限公司', '股票代码': '000026', '所属行业': '服装与服饰', '法定代表人': '黄勇峰', '公司英文名称': 'Fiyta Holdings Ltd.', '所属地域': '广东', '所属概念': '国防军工、含B股、军工航天、奢侈品'}"
000027,"{'曾用名': '深能源A、G深能源、深能源A', '独立董事': '李平、房向东、刘东东', '咨询服务机构': '徐志光 王晓东 孔雨泉律师', '成立日期': '1993-06-02', '公司简称': '深圳能源', '证券事务代表': '周朝晖', '会计师事务所': '德勤华永会计师事务所(特殊普通合伙)', '公司全称': '深圳能源集团股份有限公司', '股票代码': '000027', '所属行业': '电力（IV）', '法定代表人': '熊佩锦', '公司英文名称': 'Shenzhen Energy Group Co., Ltd.', '所属地域': '广东', '所属概念': '创投概念、融资融券、新三板'}"
000028,"{'曾用名': '深益力A、一致药业、G一致、一致药业', '独立董事': '欧永良、陈宏辉、陈胜群', '咨询服务机构': '通商律师事务所', '成立日期': '1993-07-03', '公司简称': '国药一致', '证券事务代表': '王兆宇', '会计师事务所': '安永华明会计师事务所(特殊普通合伙)', '公司全称': '国药集团一致药业股份有限公司', '股票代码': '000028', '所属行业': '药品零售', '法定代表人': '林兆雄', '公司英文名称': 'China National Accord Medicines Corporation Ltd.', '所属地域': '广东', '所属概念': '仿制药、含B股、融资融券'}"
000029,"{'曾用名': '深深房A、G深深房', '独立董事': '章顺文、宋博通、刘全民', '咨询服务机构': '信达律师事务所', '成立日期': '1993-08-15', '公司简称': '深深房A', '证券事务代表': '罗毅', '会计师事务所': '中瑞岳华会计师事务所(特殊普通合伙)', '公司全称': '深圳经济特区房地产(集团)股份有限公司', '股票代码': '000029', '所属行业': '不动产投资开发', '法定代表人': '周建国', '公司英文名称': 'Shenzhen Special Economic Zone Real Estate and Properties (Group) Co., Ltd.', '所属地域': '广东', '所属概念': '含B股'}"
000030,"{'曾用名': '莱英达A、ST英达A、ST盛润A、*ST盛润A、ST盛润A、*ST盛润A、S*ST盛润、SST盛润、ST盛润A、*ST盛润A', '独立董事': '朱文山、吴博达、李晓', '咨询服务机构': '北京国枫凯文(深圳)律师事务所', '成立日期': '1993-08-28', '公司简称': '富奥股份', '证券事务代表': '王淼', '会计师事务所': '瑞华会计师事务所(特殊普通合伙)', '公司全称': '富奥汽车零部件股份有限公司', '股票代码': '000030', '所属行业': '汽车零配件（IV）', '法定代表人': '甘先国', '公司英文名称': 'FAWER Automotive Parts Limited Company', '所属地域': '吉林', '所属概念': '含B股、汽车电子、融资融券'}"
000031,"{'曾用名': '深宝恒A、G宝恒、G中粮地', '独立董事': '孟焰、王涌、顾云昌', '咨询服务机构': '信达律师事务所', '成立日期': '1993-09-26', '公司简称': '中粮地产', '证券事务代表': '范步登', '会计师事务所': '瑞华会计师事务所(特殊普通合伙)', '公司全称': '中粮地产（集团）股份有限公司', '股票代码': '000031', '所属行业': '不动产投资开发', '法定代表人': '周政', '公司英文名称': 'COFCO Property (Group) Co., Ltd.', '所属地域': '广东', '所属概念': '保障房、融资融券'}"
000032,"{'曾用名': '深桑达A、G深桑达', '独立董事': '江小军、汪军民、宋晓风', '咨询服务机构': '广东海埠律师事务所', '成立日期': '1993-09-26', '公司简称': '深桑达A', '证券事务代表': '李红梅', '会计师事务所': '立信会计师事务所', '公司全称': '深圳市桑达实业股份有限公司', '股票代码': '000032', '所属行业': '商业辅助服务', '法定代表人': '周剑', '公司英文名称': 'Shenzhen SED Industry Co., Ltd.', '所属地域': '广东', '所属概念': '电子支付、重组概念'}"
000034,"{'曾用名': 'ST深华宝、深华宝A、ST深华宝、深华宝、深信泰丰、ST深泰、*ST深泰、S*ST深泰、SST深泰、ST深泰、*ST深泰、ST深泰、深信泰丰', '独立董事': '朱锦梅、张志强、张宏江、张连起', '咨询服务机构': '', '成立日期': '1993-12-18', '公司简称': '神州数码', '证券事务代表': '孙丹梅', '会计师事务所': '信永中和会计师事务所(特殊普通合伙)', '公司全称': '神州数码集团股份有限公司', '股票代码': '000034', '所属行业': '通讯设备', '法定代表人': '郭为', '公司英文名称': 'Digital China Group Co., Ltd.', '所属地域': '广东', '所属概念': '--'}"
000035,"{'曾用名': '中科健A、*ST科健、ST科健、*ST科健、S*ST科健、*ST科健、ST科健、ST科健、*ST科健、ST科健、*ST科健、中科健', '独立董事': '俞汉青、洪剑峭、赵亚娟', '咨询服务机构': '广东经天律师事务所', '成立日期': '1994-01-08', '公司简称': '中国天楹', '证券事务代表': '陈云', '会计师事务所': '众环海华会计师事务所(特殊普通合伙)', '公司全称': '中国天楹股份有限公司', '股票代码': '000035', '所属行业': '综合公共事业', '法定代表人': '严圣军', '公司英文名称': 'China Tianying Inc.', '所属地域': '江苏', '所属概念': '重组概念'}"
