节点类型	原标识	编码
COMPANY	安钢自动化软件股份有限公司	COMP000100033250
COMPANY	卡斯柯信号有限公司	COMP000100033251
COMPANY	东部铜业股份有限公司	COMP000100033252
COMPANY	华润山东医药有限公司	COMP000100033253
COMPANY	上海市胸科医院	COMP000100033254
COMPANY	天津市瑞德赛恩水业有限公司	COMP000100033255
COMPANY	中建二局第三建筑工程有限公司	COMP000100033256
COMPANY	中国华西企业有限公司	COMP000100033257
COMPANY	上海建工一建集团有限公司	COMP000100033258
COMPANY	重庆市涪陵三海兰陵有限责任公司	COMP000100033259
COMPANY	遵义天辉机电有限责任公司	COMP000100033260
COMPANY	中国铁塔股份有限公司	COMP000100033261
COMPANY	长兴艾飞特科技股份有限公司	COMP000100033262
COMPANY	上海申澳有色焊材有限公司	COMP000100033263
COMPANY	上海上汽大众汽车销售有限公司	COMP000100033264
COMPANY	寿光凯瑞商贸有限公司	COMP000100033265
COMPANY	山东九州通医药有限公司	COMP000100033266
COMPANY	昆山市春光石油经贸有限公司	COMP000100033267
COMPANY	苏州制氧机股份有限公司	COMP000100033268
COMPANY	中国铁路通信信号上海工程局集团有限公司	COMP000100033269
COMPANY	山东金升有色集团有限公司	COMP000100033270
COMPANY	吉林市歌舞团文化传媒股份有限公司	COMP000100033271
COMPANY	北京国铁科林科技股份有限公司	COMP000100033272
COMPANY	圣光集团医药物流有限公司	COMP000100033273
COMPANY	广东东方新特药有限公司	COMP000100033274
COMPANY	上海交通大学医学院附属仁济医院	COMP000100033275
COMPANY	唐山新宝泰钢铁有限公司	COMP000100033276
COMPANY	成都天齐实业(集团)有限公司	COMP000100033277
COMPANY	重庆市永川区天星桥矿产品精选厂	COMP000100033278
COMPANY	无锡市梅村永新冲压件厂	COMP000100033279
COMPANY	库尔勒市金桥香梨专业合作社	COMP000100033280
COMPANY	广州金创利经贸有限公司	COMP000100033281
COMPANY	江苏省天然气有限公司	COMP000100033282
COMPANY	北京罗顿沙河高教园区发展建设有限公司	COMP000100033283
COMPANY	圣山集团有限公司	COMP000100033284
COMPANY	江苏德旺化工工业有限公司	COMP000100033285
COMPANY	中车贵阳车辆有限公司	COMP000100033286
COMPANY	山东东方宏业化工有限公司	COMP000100033287
COMPANY	宁波精科机械密封件制造有限公司	COMP000100033288
COMPANY	广东蓝海豚旅运股份有限公司	COMP000100033289
COMPANY	福建兄弟文仪企业服务股份有限公司	COMP000100033290
COMPANY	北京万国天骐体育股份有限公司	COMP000100033291
COMPANY	海南东汇股份有限公司	COMP000100033292
COMPANY	广州发展航运有限公司	COMP000100033293
COMPANY	唐山三友远达纤维有限公司	COMP000100033294
COMPANY	涞源县京源城矿业有限公司	COMP000100033295
COMPANY	广东悠派智能展示科技股份有限公司	COMP000100033296
COMPANY	唐山亚特专用汽车有限公司	COMP000100033297
COMPANY	惠州市日上光电有限公司	COMP000100033298
COMPANY	苏州园林发展股份有限公司	COMP000100033299
COMPANY	陕西省交通建设集团公司	COMP000100033300
COMPANY	沧州市昱荣煤炭销售有限公司	COMP000100033301
COMPANY	湖北交投物流集团有限公司	COMP000100033302
COMPANY	北京市轨道交通建设管理有限公司	COMP000100033303
COMPANY	中逸安科生物技术股份有限公司	COMP000100033304
COMPANY	浙江吉利汽车有限公司及其关联公司	COMP000100033305
COMPANY	合肥中鼎信息科技股份有限公司	COMP000100033306
COMPANY	城光(湖南)节能环保服务股份有限公司	COMP000100033307
COMPANY	华能海南发电股份有限公司	COMP000100033308
COMPANY	上海钰弘实业有限公司	COMP000100033309
COMPANY	北京木村纸业有限公司	COMP000100033310
COMPANY	唐鸿重工专用汽车股份有限公司	COMP000100033311
COMPANY	佛山市三水区艺创灯饰厂	COMP000100033312
COMPANY	天津市方标建筑设计有限公司	COMP000100033313
COMPANY	武汉西四环线高速公路建设管理有限公司	COMP000100033314
COMPANY	湖北冠宇商贸实业有限公司	COMP000100033315
COMPANY	深圳市泰久信息系统股份有限公司	COMP000100033316
COMPANY	安徽东方帝维生物制品股份有限公司	COMP000100033317
COMPANY	深圳巴斯巴科技发展有限公司及其关联公司	COMP000100033318
COMPANY	上海利檀贸易有限公司	COMP000100033319
COMPANY	沈阳新光华翔汽车发动机制造有限公司	COMP000100033320
COMPANY	聚兴科技股份有限公司	COMP000000003423
COMPANY	易视腾科技股份有限公司	COMP000100033321
COMPANY	乐山希尔电子股份有限公司	COMP000100033322
COMPANY	北京市土地整理储备中心	COMP000100033323
COMPANY	益阳联晟机械制造有限公司	COMP000100033324
COMPANY	重庆联众实业有限公司	COMP000100033325
COMPANY	中海石油宁波大榭石化有限公司	COMP000100033326
COMPANY	深圳市黄金叶贸易有限公司	COMP000100033327
COMPANY	华润水泥控股有限公司	COMP0000000712!1
COMPANY	深圳市泛谷药业股份有限公司	COMP000100033328
COMPANY	广东恒润光电有限公司	COMP000100033329
COMPANY	江门市华睦五金有限公司	COMP000100033330
COMPANY	深圳市斯迈得半导体有限公司+1	COMP000100033331
COMPANY	福建省惠东建筑工程有限公司	COMP000100033332
COMPANY	湖北国创道路工程有限公司	COMP000100033333
COMPANY	天津泰达燃气有限责任公司	COMP000100033334
COMPANY	山东晨鸣纸业销售有限公司	COMP000100033335
COMPANY	湖北加德科技股份有限公司	COMP000100033336
COMPANY	上海绿谷制药有限公司	COMP000100033337
COMPANY	北京星昊医药股份有限公司	COMP000100033338
COMPANY	北京新能源汽车股份有限公司及其关联公司	COMP000100033339
COMPANY	安徽江淮汽车集团股份有限公司及其关联公司	COMP000100033340
COMPANY	大连锦华钟表珠宝有限公司	COMP000100033341
COMPANY	吉林碳谷碳纤维股份有限公司	COMP000100033342
COMPANY	内蒙古欧意德发动机有限公司	COMP000100033343
COMPANY	中化工(新加坡)有限公司	COMP000100033344
COMPANY	中国中材集团有限公司	COMP000100033345
COMPANY	北京康辰药业股份有限公司	COMP000100033346
COMPANY	广州恒聚电子科技有限公司	COMP000100033347
COMPANY	广州宝威展览策划有限公司	COMP000100033348
COMPANY	天津市建工工程总承包有限公司	COMP000100033349
COMPANY	天津晓沃环保工程股份公司	COMP000100033350
COMPANY	武汉广绘轴物资有限责任公司	COMP000100033351
COMPANY	莱西市公安局交通警察大队	COMP000100033352
COMPANY	广州市莱帝亚照明股份有限公司	COMP000100033353
COMPANY	中冶地勘岩土工程有限责任公司	COMP000100033354
COMPANY	唯品会(天津)电子商务有限公司	COMP000100033355
COMPANY	北京嘉曼服饰股份有限公司	COMP000100033356
COMPANY	华岳集团有限公司	COMP000100033357
COMPANY	北京博大新元房地产开发有限公司	COMP000100033358
COMPANY	浏阳市瑞虎机械制造有限公司	COMP000000302408
COMPANY	厦门建发金属有限公司	COMP000100033359
COMPANY	上海闽兴大国际贸易有限公司	COMP000100033360
COMPANY	广东客家园林股份有限公司	COMP000100033361
COMPANY	重庆蓝盾电子技术服务公司	COMP000100033362
COMPANY	广东粤辉科技股份有限公司	COMP000100033363
COMPANY	广西路桥工程集团有限公司	COMP000100033364
COMPANY	新疆旭日环保股份有限公司	COMP000100033365
COMPANY	河北远东通信系统工程有限公司	COMP000100033366
COMPANY	苏州银河激光科技股份有限公司	COMP000100033367
COMPANY	国药集团国瑞药业有限公司	COMP000100033368
COMPANY	Aurobindo Pharma Limited	COMP000100033369
COMPANY	山东天幕集团总公司	COMP000100033370
COMPANY	上海葆原国际贸易有限公司	COMP000100033371
COMPANY	中国联合石油有限责任公司	COMP000100033372
COMPANY	滨州廉氏化工发展有限公司	COMP000100033373
COMPANY	深圳市思普达软件系统股份有限公司	COMP000100033374
COMPANY	上海富芮坤微电子有限公司	COMP000100033375
COMPANY	律云(上海)数据科技股份有限公司	COMP000100033376
COMPANY	河南神火集团有限公司	COMP000100033377
COMPANY	仟亿达集团股份有限公司	COMP000100033378
COMPANY	余姚市凯中电器有限公司	COMP000100033379
COMPANY	苏州维艾普新材料股份有限公司	COMP000100033380
COMPANY	广州仕元光电股份有限公司	COMP000100033381
COMPANY	浙江浙农爱普贸易有限公司	COMP000100033382
COMPANY	浙江湖州环太湖集团有限公司	COMP000100033383
COMPANY	江西腾勒动力有限公司	COMP000100033384
COMPANY	Arrow Electronics China Ltd.	COMP000100033385
COMPANY	深圳市湘海电子有限公司	COMP000100033386
COMPANY	深圳英集芯科技有限公司	COMP000100033387
COMPANY	湖北鼎信力创工业科技有限公司	COMP000100033388
COMPANY	安徽省水利物资股份有限公司	COMP000100033389
COMPANY	安徽省皖北煤电集团有限责任公司	COMP000100033390
COMPANY	江苏恒立液压有限公司	COMP000100033391
COMPANY	苏州工业园区金鸡湖城市发展有限公司	COMP000100033392
COMPANY	上海王润贸易有限公司	COMP000100033393
COMPANY	青岛海洋科技投资发展集团有限公司	COMP000100033394
COMPANY	无锡零界净化设备股份有限公司	COMP000100033395
COMPANY	深圳欣鸿昌汽车贸易有限公司	COMP000100033396
COMPANY	四川玖源农资化工有限公司	COMP000100033397
COMPANY	广东龙康医药有限公司	COMP000100033398
COMPANY	上海金龟华超医药有限公司	COMP000100033399
COMPANY	江阴长电先进封装有限公司	COMP000100033400
COMPANY	江苏长江纺织品贸易有限公司	COMP000100033401
COMPANY	海安建海新能源有限公司	COMP000100033402
COMPANY	远景能源(江苏)有限公司	COMP000100033403
COMPANY	品佳股份有限公司	COMP000000002470
COMPANY	成都陌陌科技有限公司	COMP000100033404
COMPANY	北京当乐信息技术有限公司	COMP000100033405
COMPANY	北京国际商务中心区开发建设有限公司	COMP000100033406
COMPANY	湖南森禾机械制造有限公司	COMP000100033407
COMPANY	哈尔滨海能达科技有限公司	COMP000100033408
COMPANY	苏州新达电扶梯部件有限公司	COMP000100033409
COMPANY	遵义经济技术开发区投资建设有限公司	COMP000100033410
COMPANY	海南第一成美物业管理股份有限公司	COMP000100033411
COMPANY	苏州泰嘉电子股份有限公司	COMP000100033412
COMPANY	烟台原瑞国际贸易有限公司	COMP000100033413
COMPANY	山东省路桥集团有限公司	COMP000100033414
COMPANY	青海盐湖佛照蓝科锂业股份有限公司	COMP000100033415
COMPANY	江苏苏丝丝绸股份有限公司	COMP000100033416
COMPANY	王男男,刘凤云,苏州慧享家贸易有限公司,南京太太好家居用品有限公司	COMP000100033417
COMPANY	武汉市圣天福家居用品有限公司,王新	COMP000100033418
COMPANY	中智商展(北京)国际会议展览股份公司	COMP000100033419
COMPANY	三峡新能源开原风电有限公司	COMP000100033420
COMPANY	群环科技股份有限公司	COMP000000003074
COMPANY	四川志明科技有限公司	COMP000100033421
COMPANY	北京指南针科技发展股份有限公司	COMP000100033422
COMPANY	丽水市长新电器制造有限公司	COMP000100033423
COMPANY	上海思华科技股份有限公司	COMP000100033424
COMPANY	嘉峪关中远房地产开发有限公司	COMP000100033425
COMPANY	江苏富泰净化科技股份有限公司	COMP000100033426
COMPANY	苏州桐力光电股份有限公司	COMP000100033427
COMPANY	江苏创美城市服务股份有限公司	COMP000100033428
COMPANY	上海市农业生产资料公司	COMP000100033429
COMPANY	杭州萧山钱江世纪城沿江建设开发有限公司	COMP000100033430
COMPANY	四川长虹佳华信息产品有限责任公司	COMP000100033431
COMPANY	国际商业机器保理(中国)有限公司	COMP000100033432
COMPANY	广东自动化电气股份有限公司	COMP000100033433
COMPANY	聿进贸易(上海)有限公司	COMP000100033434
COMPANY	宁波登越新材料科技有限公司	COMP000100033435
COMPANY	天合光能(上海)有限公司	COMP000100033436
COMPANY	长春市城乡建设委员会	COMP000100033437
COMPANY	中意恒信扬州科技股份有限公司	COMP000100033438
COMPANY	丁本国	COMP000100033439
COMPANY	冯雁达	COMP000100033440
COMPANY	江苏沙钢集团淮钢特钢股份有限公司	COMP000100033441
COMPANY	铜陵精达里亚特种漆包线有限公司	COMP000100033442
COMPANY	广州兴田节能科技有限公司	COMP000100033443
COMPANY	天津兴实新材料科技有限公司	COMP000100033444
COMPANY	江苏宏微科技股份有限公司	COMP000100033445
COMPANY	桂林天锐医药股份有限公司	COMP000100033446
COMPANY	山东真又美制衣有限公司	COMP000100033447
COMPANY	吉林市城市建设控股集团有限公司	COMP000100033448
COMPANY	江西百通能源股份有限公司	COMP000100033449
COMPANY	浙江创源环境科技股份有限公司	COMP000100033450
COMPANY	鲁娟娟	COMP000100033451
COMPANY	北京奥鑫亚工贸有限责任公司	COMP000100033452
COMPANY	大同煤矿集团有限责任公司	COMP000100033453
COMPANY	上海网域网络科技有限公司	COMP000100033454
COMPANY	北京前景云通信股份有限公司	COMP000100033455
COMPANY	深圳市联赢激光股份有限公司	COMP000100033456
COMPANY	上海狮煌国际贸易有限公司	COMP000100033457
COMPANY	大东傲胜保健器(苏州)有限公司	COMP000100033458
COMPANY	深圳市穗晶光电股份有限公司	COMP000100033459
COMPANY	广州巨安电子科技有限公司	COMP000100033460
COMPANY	辽宁中维高新技术股份有限公司	COMP000100033461
COMPANY	哈尔滨东安汽车发动机制造有限公司	COMP000100033462
COMPANY	中国北方工业有限公司	COMP000100033463
COMPANY	苏州爱得科技发展股份有限公司	COMP000100033464
COMPANY	江苏亨通光纤科技有限公司	COMP000100033465
COMPANY	烽火藤仓光纤科技有限公司	COMP000100033466
COMPANY	上海莘威运动品有限公司	COMP000100033467
COMPANY	百胜咨询(上海)有限公司	COMP000100033468
COMPANY	南京城建项目建设管理有限公司	COMP000100033469
COMPANY	成都博智维讯信息技术股份有限公司	COMP000100033470
COMPANY	秦邵娟	COMP000100033471
COMPANY	深圳市天琴鸟科技发展有限公司,郭波静	COMP000100033472
COMPANY	海宁市顺惠密封件有限公司	COMP000100033473
COMPANY	安徽蓝华金属科技股份有限公司	COMP000100033474
COMPANY	哈尔滨锅炉厂有限责任公司	COMP000100033475
COMPANY	联强国际股份有限公司	COMP000000002347
COMPANY	成都捷成优联信息技术有限公司	COMP000100033476
COMPANY	成都携恩科技有限公司	COMP000100033477
COMPANY	东莞市恒金电子科技有限公司	COMP000100033478
COMPANY	安徽八一化工股份有限公司	COMP000100033479
COMPANY	北京赛德盛医药科技股份有限公司	COMP000100033480
COMPANY	成都市第一等科技有限公司	COMP000100033481
COMPANY	上海爱东贸易有限公司	COMP000100033482
COMPANY	创志机电科技发展(江苏)股份有限公司	COMP000100033483
COMPANY	齐齐哈尔北兴特殊钢有限责任公司	COMP000100033484
COMPANY	辽宁瑞博精密部件股份有限公司	COMP000100033485
COMPANY	江苏锐升新材料有限公司	COMP000100033486
COMPANY	淄博辰创塑料有限公司	COMP000100033487
COMPANY	成都市海思达科技开发有限公司	COMP000100033488
COMPANY	天津轩坤能源科技有限公司	COMP000100033489
COMPANY	吉林省高升科技有限公司	COMP000100033490
COMPANY	江苏燎原环保科技股份有限公司	COMP000100033491
COMPANY	上海棠棣信息科技股份有限公司	COMP000100033492
COMPANY	中国农业银行河北省分行	COMP000100033493
COMPANY	福建迈纬通信科技股份有限公司	COMP000100033494
COMPANY	陕西省公安厅	COMP000100033495
COMPANY	湖南飞沃新能源科技股份有限公司	COMP000100033496
COMPANY	湖北国抒特化工实业有限公司	COMP000100033497
COMPANY	宁波维科电池股份有限公司	COMP000100033498
COMPANY	江苏万佳科技开发股份有限公司	COMP000100033499
COMPANY	华尔达集团有限公司	COMP000100033500
COMPANY	安徽宁国晨光精工股份有限公司	COMP000100033501
COMPANY	大唐瓜州新能源有限公司	COMP000100033502
COMPANY	努比亚技术有限公司	COMP000100033503
COMPANY	江苏捷帝机器人股份有限公司	COMP000100033504
COMPANY	北京东润环能科技股份有限公司	COMP000100033505
COMPANY	北京畅游空间网络技术有限公司	COMP000100033506
COMPANY	河北贺森化工有限公司	COMP000100033507
COMPANY	芜湖市银峰化工有限公司	COMP000100033508
COMPANY	浙江海昌药业股份有限公司	COMP000100033509
COMPANY	北京东方兴华科技发展有限责任公司	COMP000100033510
COMPANY	汕头华兴冶金设备股份有限公司	COMP000100033511
COMPANY	北京殷图网联科技股份有限公司	COMP000100033512
COMPANY	上海舜元建设集团有限公司	COMP000100033513
COMPANY	芜湖雅葆轩电子科技股份有限公司	COMP000100033514
COMPANY	苏州恒美电子科技股份有限公司	COMP000100033515
COMPANY	广东硕源科技股份有限公司	COMP000100033516
COMPANY	常州宏賸科技股份有限公司	COMP000100033517
COMPANY	深圳市博康系统工程有限公司	COMP000100033518
COMPANY	保定华仿科技股份有限公司	COMP000100033519
COMPANY	惠柏新材料科技(上海)股份有限公司	COMP000100033520
COMPANY	北京世纪互联宽带数据中心有限公司	COMP000100033521
COMPANY	广州东兴铝业有限公司	COMP000100033522
COMPANY	华为终端(东莞)有限公司	COMP000100033523
COMPANY	常州浩鸿电子科技有限公司	COMP000100033524
COMPANY	石家庄东华金龙化工有限公司	COMP000100033525
COMPANY	株洲钻石切削刀具股份有限公司	COMP000100033526
COMPANY	光荣国际贸易(上海)有限公司	COMP000100033527
COMPANY	阿尔卡特朗讯公司	COMP000100033528
COMPANY	太仓市国土资源局	COMP000100033529
COMPANY	山东泉林纸业有限责任公司	COMP000100033530
COMPANY	金纸源贸易(上海)有限公司	COMP000100033531
COMPANY	联通云数据有限公司	COMP000100033532
COMPANY	广西壮族自治区公众信息产业有限公司	COMP000100033533
COMPANY	上海创旗天下科技股份有限公司	COMP000100033534
COMPANY	北京华泰科捷信息技术股份有限公司	COMP000100033535
COMPANY	华强化工集团股份有限公司	COMP000000200886
COMPANY	珠海光宇电池有限公司	COMP000100033536
COMPANY	中信银行股份有限公司信用卡中心	COMP000100033537
COMPANY	上海鑫权贸易有限公司	COMP000100033538
COMPANY	江苏海雷医药有限公司	COMP000100033539
COMPANY	浙江万向系统有限公司	COMP000100033540
COMPANY	上海强荣建设工程有限公司	COMP000100033541
COMPANY	江西北邮信息通信技术有限公司	COMP000100033542
COMPANY	安徽云森物联网科技有限公司	COMP000100033543
COMPANY	湖南拓天节能控制技术股份有限公司	COMP000100033544
COMPANY	荆门市燎原科技开发有限公司	COMP000100033545
COMPANY	无锡安特源科技股份有限公司	COMP000100033546
COMPANY	上海汉涛信息咨询有限公司	COMP000100033547
COMPANY	广州农村商业银行股份有限公司	COMP000100033548
COMPANY	山东鑫汇铜材有限公司	COMP000100033549
COMPANY	福建上杭太阳铜业有限公司	COMP000100033550
COMPANY	广东省梅县医药有限公司	COMP000100033551
COMPANY	杭州华祥生物药品有限公司	COMP000100033552
COMPANY	山东大众机械制造股份有限公司	COMP000100033553
COMPANY	北大荒粮食集团(海南)贸易有限公司	COMP000100033554
COMPANY	汕头市潮南区金利鹏布业有限公司	COMP000100033555
COMPANY	江苏中科君达物联网股份有限公司	COMP000100033556
COMPANY	江苏海阳化纤有限公司	COMP000100033557
COMPANY	芍花堂国药股份有限公司	COMP000100033558
COMPANY	四川省西点电力设计有限公司	COMP000100033559
COMPANY	湖北晋煤金楚化肥有限责任公司	COMP000100033560
COMPANY	湖南恒光科技股份有限公司	COMP000100033561
COMPANY	康德乐合丹(深圳)医药有限公司	COMP000100033562
COMPANY	广东省东莞市医药有限公司	COMP000100033563
COMPANY	南京中超新材料股份有限公司	COMP000100033564
COMPANY	湖北富华建筑安装有限公司	COMP000100033565
COMPANY	北京煜邦电力技术股份有限公司	COMP000100033566
COMPANY	河南华星科创股份有限公司	COMP000100033567
COMPANY	广州市欣之海电脑科技有限公司	COMP000100033568
COMPANY	FORMOSA CHEMICALS & FIBRE CORP.	COMP000100033569
COMPANY	爱思开综合化学国际贸易(上海)有限公司	COMP000100033570
COMPANY	南京联畅物流股份有限公司	COMP000100033571
COMPANY	长春信华通讯技术咨询服务有限公司	COMP000100033572
COMPANY	新疆丽谯热力有限责任公司	COMP000100033573
COMPANY	上海安可科技股份有限公司	COMP000100033574
COMPANY	上海宝信建设咨询股份有限公司	COMP000100033575
COMPANY	常州恒丰特导股份有限公司	COMP000100033576
COMPANY	上海松科快换自动化股份有限公司	COMP000100033577
COMPANY	江苏必得科技股份有限公司	COMP000100033578
COMPANY	常熟联邦化工股份有限公司	COMP000100033579
COMPANY	天华新材料科技(荆门)股份有限公司	COMP000100033580
COMPANY	江西前程新能源科技股份有限公司	COMP000100033581
COMPANY	深圳市健华医药有限公司	COMP000100033582
COMPANY	华东宁波医药有限公司	COMP000100033583
COMPANY	大众一汽平台零部件有限公司	COMP000100033584
COMPANY	大冶建工集团有限责任公司	COMP000100033585
COMPANY	北京博纳电子有限公司	COMP000100033586
COMPANY	佛山市丰宝纺织有限公司	COMP000100033587
COMPANY	FIRST WISE MEDIA GMBH	COMP000100033588
COMPANY	华峰集团有限公司	COMP000100033589
COMPANY	HANWHA TOTAL PETROCHEMICAL CO.,LTD	COMP000100033590
COMPANY	吉林省煌亚劳务有限公司	COMP000100033591
COMPANY	新疆紫光永利精细化工有限公司	COMP000100033592
COMPANY	汕头市双凤实业有限公司	COMP000100033593
COMPANY	九江民生文化旅游发展有限公司	COMP000100033594
COMPANY	湖州浙宝钙业科技股份有限公司	COMP000100033595
COMPANY	三联泵业股份有限公司	COMP000100033596
COMPANY	中盈优创资讯科技有限公司	COMP000100033597
COMPANY	尚宝罗江苏节能科技股份有限公司	COMP000100033598
COMPANY	上海事成软件股份有限公司	COMP000100033599
COMPANY	广东通用医药有限公司	COMP000100033600
COMPANY	北京华卫骥生物医药有限公司	COMP000100033601
COMPANY	海南华晟源贸易有限公司	COMP000100033602
COMPANY	临清三和纺织集团有限公司	COMP000100033603
COMPANY	铜陵三佳变压器科技股份有限公司	COMP000100033604
COMPANY	南京路昶恒工贸实业有限公司	COMP000100033605
COMPANY	江苏中信博新能源科技股份有限公司	COMP000100033606
COMPANY	吉林兴元劳务有限公司	COMP000100033607
COMPANY	新疆广汇实业投资(集团)有限责任公司	COMP000100033608
COMPANY	广东彩虹德记塑胶颜料股份有限公司	COMP000100033609
COMPANY	合肥万达城投资有限公司	COMP000100033610
COMPANY	上海中冶横天智能科技股份有限公司	COMP000100033611
COMPANY	科威天使环保科技集团股份有限公司	COMP000100033612
COMPANY	江苏华灿电讯股份有限公司	COMP000100033613
COMPANY	新疆敦华石油技术股份有限公司	COMP000100033614
COMPANY	宁夏华御化工有限公司	COMP000100033615
COMPANY	索克物业发展股份有限公司	COMP000100033616
COMPANY	惠州市西文思电子科技股份有限公司	COMP000100033617
COMPANY	中天科盛(上海)企业发展股份有限公司	COMP000100033618
COMPANY	红叶风电设备(营口)股份有限公司	COMP000100033619
COMPANY	广东健泽医药有限公司	COMP000100033620
COMPANY	北京智云创新科技股份有限公司	COMP000100033621
COMPANY	广西渤海农业发展有限公司	COMP000100033622
COMPANY	台州市瓦尔福进出口有限公司	COMP000100033623
COMPANY	上海嘉远拜力投资管理有限公司	COMP000100033624
COMPANY	广东中胜置业有限公司	COMP000100033625
COMPANY	中冶建工集团有限公司	COMP000100033626
COMPANY	隆基乐叶光伏科技有限公司	COMP000100033627
COMPANY	汕头市双鹏塑料实业有限公司	COMP000100033628
COMPANY	武汉市玩购实业发展有限公司	COMP000100033629
COMPANY	网之易信息技术(北京)有限公司	COMP000100033630
COMPANY	上海华创自动化工程股份有限公司	COMP000100033631
COMPANY	神州数码系统集成服务有限公司	COMP000100033632
COMPANY	上海农村商业银行股份有限公司	COMP000100033633
COMPANY	厦门欧化实业有限公司	COMP000100033634
COMPANY	上海金豹实业股份有限公司	COMP000100033635
COMPANY	上海炫伍科技股份有限公司	COMP000100033636
COMPANY	上海派拉软件股份有限公司	COMP000100033637
COMPANY	深圳市万泉河科技股份有限公司	COMP000100033638
COMPANY	上海泰祺教育培训股份有限公司	COMP000100033639
COMPANY	吉林通途劳务分包有限公司	COMP000100033640
COMPANY	新疆华泰重化工有限责任公司	COMP000100033641
COMPANY	树业环保科技股份有限公司	COMP000100033642
COMPANY	江苏麟龙新材料股份有限公司	COMP000100033643
COMPANY	上海超高环保科技股份有限公司	COMP000100033644
COMPANY	南京东来办公产业股份有限公司	COMP000100033645
COMPANY	宁波舜宇模具股份有限公司	COMP000100033646
COMPANY	北京卡车之家信息技术股份有限公司	COMP000100033647
COMPANY	德昌电机控股有限公司	COMP000000000179
COMPANY	湖南高桥大市场丰旺调料商行	COMP000100033648
COMPANY	福建森达电气股份有限公司	COMP000100033649
COMPANY	无锡振华机械有限公司	COMP000100033650
COMPANY	西安西电电力系统有限公司	COMP000100033651
COMPANY	新华三技术有限公司	COMP000100033652
COMPANY	广东汇通信息科技股份有限公司	COMP000100033653
COMPANY	浙江百事宝电器股份有限公司	COMP000100033654
COMPANY	上海研祥智能科技有限公司	COMP000100033655
COMPANY	温州东大矿建工程有限公司	COMP000100033656
COMPANY	杭州迪普科技股份有限公司	COMP000100033657
COMPANY	苏州未来电器股份有限公司	COMP000100033658
COMPANY	伟创力实业(珠海)有限公司	COMP000100033659
COMPANY	安徽万安环境科技股份有限公司	COMP000100033660
COMPANY	青岛华创风能有限公司	COMP000100033661
COMPANY	青岛森麒麟轮胎股份有限公司	COMP000100033662
COMPANY	上海沿锋汽车科技股份有限公司	COMP000100033663
COMPANY	联想(上海)电子科技有限公司	COMP000100033664
COMPANY	长春佛吉亚排气系统有限公司	COMP000100033665
COMPANY	江苏汇鸿国际集团医药保健品进出口有限公司	COMP000100033666
COMPANY	中电普瑞电力工程有限公司	COMP000100033667
COMPANY	北京华三通信技术有限公司	COMP000100033668
COMPANY	安徽鑫民玻璃股份有限公司	COMP000100033669
COMPANY	上海星舜置业有限公司	COMP000100033670
COMPANY	广东省南粤交通投资建设有限公司	COMP000100033671
COMPANY	安徽金禾软件股份有限公司	COMP000100033672
COMPANY	浙江美硕电气科技股份有限公司	COMP000100033673
COMPANY	长沙中坤电气科技股份有限公司	COMP000100033674
COMPANY	上海会通自动化科技发展有限公司	COMP000100033675
COMPANY	昆明鼎邦科技股份有限公司	COMP000100033676
COMPANY	广州英恒饲料有限公司	COMP000100033677
COMPANY	北京福田康明斯发动机有限公司	COMP000100033678
COMPANY	中国石化销售有限公司	COMP000100033679
COMPANY	上海锐邦文化传播股份有限公司	COMP000100033680
COMPANY	萍乡市广利源贸易商行	COMP000100033681
COMPANY	中电科华云信息技术有限公司	COMP000100033682
COMPANY	一丁集团股份有限公司	COMP000100033683
COMPANY	中畅微飞(上海)文化传媒股份有限公司	COMP000100033684
COMPANY	恒丰银行股份有限公司	COMP000100033685
COMPANY	成都众凯汽车零部件制造有限公司	COMP000100033686
COMPANY	江阴市洪腾机械有限公司	COMP000100033687
COMPANY	常州天马集团有限公司	COMP000100033688
COMPANY	上海研华慧胜智能科技有限公司	COMP000100033689
COMPANY	上海浦耀贸易有限公司	COMP000100033690
COMPANY	中国人民解放军南疆军区后勤部	COMP000100033691
COMPANY	江西宜春汽车运输股份有限公司	COMP000100033692
COMPANY	中国金融交易中心	COMP000100033693
COMPANY	新矿国际贸易有限公司	COMP000100033694
COMPANY	云朵实业(上海)股份有限公司	COMP000100033695
COMPANY	焦作金冠嘉华电力有限公司	COMP000100033696
COMPANY	武汉同济现代医药科技股份有限公司	COMP000100033697
COMPANY	新疆丰华神州汽车配件股份有限公司	COMP000100033698
COMPANY	西门子风力发电叶片(上海)有限公司	COMP000100033699
COMPANY	佛山市成拓有色金属贸易有限公司	COMP000100033700
COMPANY	浏阳市贵美食品有限公司	COMP000100033701
COMPANY	南京苏宁易购电子商务有限公司	COMP000100033702
COMPANY	普天国脉网络科技有限公司	COMP000100033703
COMPANY	武汉虹丽置业管理有限公司	COMP000100033704
COMPANY	宁波科信华正工程咨询股份有限公司	COMP000100033705
COMPANY	上海国利汽车真皮饰件有限公司	COMP000100033706
COMPANY	上海海隆石油钻具有限公司	COMP000100033707
COMPANY	北京天诚同创电气有限公司	COMP000100033708
COMPANY	东风扬子江汽车(武汉)有限责任公司	COMP000100033709
COMPANY	安徽中皖辉达信息服务股份有限公司	COMP000100033710
COMPANY	苏州钧信自动控制有限公司	COMP000100033711
COMPANY	飞利浦(中国)投资有限公司	COMP000100033712
