节点类型	原标识	编码
COMPANY	厦门科华恒盛电力能源有限公司	COMP000100000143
COMPANY	义乌旭盈能源科技有限公司	COMP000100000144
COMPANY	佛山科华恒盛新能源系统技术有限公司	COMP000100000145
COMPANY	北京科华众生云计算科技有限公司	COMP000100000146
COMPANY	广州德昇云计算科技有限公司	COMP000100000147
COMPANY	威海华东数控(香港)有限公司	COMP000100000148
COMPANY	威海华东电源有限公司	COMP000100000149
COMPANY	深圳光启超材料技术有限公司	COMP000100000150
COMPANY	深圳市新栋梁科技有限公司	COMP000100000151
COMPANY	江苏博汇纸业有限公司	COMP000100000152
COMPANY	重庆永信科技有限公司	COMP000100000153
COMPANY	深圳市锦瑞新材料股份有限公司	COMP000100000154
COMPANY	德清县三星玻璃有限公司	COMP000100000155
COMPANY	陕西陕煤黄陵矿业有限公司	COMP000100000156
COMPANY	北京天地祥云科技有限公司	COMP000100000157
COMPANY	抚州洪新光伏电力有限公司	COMP000100000158
COMPANY	广东科云辰航计算科技有限责任公司	COMP000100000159
COMPANY	上海科众恒盛云计算科技有限公司	COMP000100000160
COMPANY	漳州城盛新能源汽车运营服务有限公司	COMP000100000161
COMPANY	威海华东数控机床有限公司	COMP000100000162
COMPANY	杭州龙生儿童用品有限公司	COMP000100000163
COMPANY	杭州市桐庐县龙生小额贷款股份有限公司	COMP000100000164
COMPANY	山东博汇浆业有限公司	COMP000100000165
COMPANY	香港博丰控股国际有限公司	COMP000100000166
COMPANY	赣州市德普特科技有限公司	COMP000100000167
COMPANY	承洺电子(深圳)有限责任公司	COMP000100000168
COMPANY	德清盛星进出口有限公司	COMP000100000169
COMPANY	陕西陕煤陕北矿业有限公司	COMP000100000170
COMPANY	陕西陕煤彬长矿业有限公司	COMP000100000171
COMPANY	陕煤化集团府谷能源投资有限公司	COMP000100000172
COMPANY	陕煤集团神木红柳林矿业有限公司	COMP000100000173
COMPANY	陕西煤业化工集团澄城有限公司	COMP000100000174
COMPANY	四川九洲空管科技有限责任公司	COMP000100000175
COMPANY	四川迪佳通电子有限公司	COMP000100000176
COMPANY	荣成市弘久锻铸有限公司	COMP000100000177
COMPANY	深圳光启尖端技术有限责任公司	COMP000100000178
COMPANY	天津美泰真空技术有限公司	COMP000100000179
COMPANY	深圳市比克动力电池有限公司	COMP000100000180
COMPANY	青岛伟胜电子塑胶有限公司	COMP000100000181
COMPANY	陕西陕煤铜川矿业有限公司	COMP000100000182
COMPANY	陕西煤业物资有限责任公司	COMP000100000183
COMPANY	陕煤集团神南产业发展有限公司	COMP000100000184
COMPANY	陕西红柠铁路有限责任公司	COMP000100000185
COMPANY	陕西煤业集团黄陵建庄矿业有限公司	COMP000100000186
COMPANY	陕西煤业化工集团财务有限公司	COMP000100000187
COMPANY	成都九洲电子信息系统股份有限公司	COMP000100000188
COMPANY	甘肃九鼎风电复合材料有限公司	COMP000100000189
COMPANY	银川九鼎金业风能复合材料有限公司	COMP000100000190
COMPANY	江苏如皋农村商业银行股份有限公司	COMP000100000191
COMPANY	上海普林电路板公司	COMP000100000192
COMPANY	上海择励实业有限公司	COMP000100000193
COMPANY	华鑫期货有限公司	COMP000100000194
COMPANY	上海力敦行房地产经纪有限公司	COMP000100000195
COMPANY	上海中视国际广告有限公司	COMP000100000196
COMPANY	重庆长渝光电科技有限公司	COMP000100000197
COMPANY	东莞市德普特电子有限公司	COMP000100000198
COMPANY	浙江三星玻璃有限公司	COMP000100000199
COMPANY	陕西省煤炭运销(集团)有限责任公司	COMP000100000200
COMPANY	陕西煤炭交易中心有限公司	COMP000100000201
COMPANY	陕煤集团神木张家峁矿业有限公司	COMP000100000202
COMPANY	陕西煤业集团黄陵有限公司	COMP000100000203
COMPANY	陕西煤业化工集团孙家岔龙华矿业有限公司	COMP000100000204
COMPANY	四川九州电子科技股份有限公司	COMP000100000205
COMPANY	深圳翔成电子科技有限公司	COMP000000662665
COMPANY	江苏世纪威能风电设备有限公司	COMP000100000206
COMPANY	北京九鼎佑丰科创技术中心(有限合伙)	COMP000100000207
COMPANY	上海金陵投资有限公司	COMP000100000208
COMPANY	华鑫宽众投资有限公司	COMP000100000209
COMPANY	摩根士丹利华鑫证券有限责任公司	COMP000100000210
COMPANY	上海及的及科技有限公司	COMP000100000211
COMPANY	北京中视北方影视制作有限公司	COMP000100000212
COMPANY	深圳市皇庭在线信息科技有限公司	COMP000100000213
COMPANY	深圳市深国商文化产业博览会有限公司	COMP000100000214
COMPANY	深圳春华医药联合企业有限公司	COMP000100000215
COMPANY	陕西神渭煤炭管道运输有限责任公司	COMP000100000216
COMPANY	陕西小保当矿业有限公司	COMP000100000217
COMPANY	陕西建新煤化有限责任公司	COMP000100000218
COMPANY	陕西中能煤田有限公司	COMP000100000219
COMPANY	山东九鼎新材料有限公司	COMP000100000220
COMPANY	甘肃金川九鼎复合材料有限公司	COMP000100000221
COMPANY	上海鑫之众投资管理有限公司	COMP000100000222
COMPANY	上海金陵出租汽车服务有限公司	COMP000100000223
COMPANY	上海鑫敦实业有限公司	COMP000100000224
COMPANY	深圳市皇庭不动产管理有限公司	COMP000100000225
COMPANY	深圳市国际商场连锁商业公司	COMP000100000226
COMPANY	深圳市国商医药有限公司	COMP000100000227
COMPANY	深圳国商物业管理有限公司	COMP000100000228
COMPANY	深圳市同心小额再贷款有限公司	COMP000100000229
COMPANY	TANACCO.LTD	COMP000100000230
COMPANY	嘉兴田中电气技术服务有限公司	COMP000100000231
COMPANY	YUN SHENG(U.S.A)INC	COMP000100000232
COMPANY	宁波韵升粘结磁体有限公司	COMP000100000233
COMPANY	宁波高新区韵升新材料装备技术有限公司	COMP000100000234
COMPANY	宁波韵豪金属材料有限公司	COMP000100000235
COMPANY	九鼎新材(香港)有限公司	COMP000100000236
COMPANY	如皋市汇金农村小额贷款有限公司	COMP000100000237
COMPANY	华鑫证券投资有限公司	COMP000100000238
COMPANY	上海普林电子有限公司	COMP000100000239
COMPANY	上海金欣联合发展有限公司	COMP000100000240
COMPANY	深圳市皇庭教育发展有限公司	COMP000100000241
COMPANY	深圳市皇庭文化发展有限公司	COMP000100000242
COMPANY	皇庭广场商业管理(深圳)有限公司	COMP000100000243
COMPANY	深圳融发投资有限公司	COMP000100000244
COMPANY	浙江田中双鲸制药设备有限公司	COMP000100000245
COMPANY	宁波韵升伺服科技有限公司	COMP000100000246
COMPANY	宁波韵升特种金属材料有限公司	COMP000100000247
COMPANY	宁波韵升高新技术研究院	COMP000100000248
COMPANY	宁波韵祥磁业有限公司	COMP000100000249
COMPANY	上海兴富创业投资管理中心(有限合伙)	COMP000100000250
COMPANY	宁波健信核磁技术有限公司	COMP000100000251
COMPANY	链石(苏州)信息科技有限公司	COMP000100000252
COMPANY	苏州德尔石墨烯产业投资基金管理有限公司	COMP000100000253
COMPANY	苏州百得胜智能橱柜有限公司	COMP000100000254
COMPANY	辽宁德尔地板有限公司	COMP000100000255
COMPANY	深圳市皇庭融发发展有限公司	COMP000100000256
COMPANY	深圳市深国商管理咨询有限公司	COMP000100000257
COMPANY	深圳市国际企业贸易有限公司	COMP000100000258
COMPANY	瑞泽国际融资租赁有限公司	COMP000100000259
COMPANY	深圳市同心投资基金股份公司	COMP000100000260
COMPANY	TANAC 株式会	COMP000100000261
COMPANY	宁波韵升磁体元件技术有限公司	COMP000100000262
COMPANY	包头韵升强磁材料有限公司	COMP000100000263
COMPANY	宁波韵升发电机有限公司	COMP000100000264
COMPANY	宁波韵升电子元器件技术有限公司	COMP000100000265
COMPANY	上海兴烨创业投资有限公司	COMP000100000266
COMPANY	宁波韵升智能技术有限公司	COMP000100000267
COMPANY	上海赢保商业保理有限公司	COMP000100000268
COMPANY	北京东方金信科技有限公司	COMP000100000269
COMPANY	德尔石墨烯研究院有限公司	COMP000100000270
COMPANY	四川德尔地板有限公司	COMP000100000271
COMPANY	苏州德尔智能互联家居产业投资基金管理有限公司	COMP000100000272
COMPANY	镇江博昊科技有限公司	COMP000100000273
COMPANY	First Million Holdings Ltd	COMP000100000274
COMPANY	申万宏源产业投资管理有限责任公司	COMP000100000275
COMPANY	深圳市戴维斯商业管理有限公司	COMP000100000276
COMPANY	TANAKA SEIKI (MALAYSIA) SDN BHD	COMP000100000277
COMPANY	宁波韵升高科磁业有限公司	COMP000100000278
COMPANY	宁波韵升强磁材料有限公司	COMP000100000279
COMPANY	宁波韵升投资有限公司	COMP000100000280
COMPANY	北京盛磁科技有限公司	COMP000100000281
COMPANY	宁波韵泰磁业有限公司	COMP000100000282
COMPANY	宁波兴富先锋投资合伙企业(有限合伙)	COMP000100000283
COMPANY	东吴在线(苏州)金融科技服务有限公司	COMP000100000284
COMPANY	宁波德尔全屋地面新材料有限公司	COMP000100000285
COMPANY	四川德尔新材料有限公司	COMP000100000286
COMPANY	苏州德尔地板服务有限公司	COMP000100000287
COMPANY	苏州柏尔恒温科技有限公司	COMP000100000288
COMPANY	桐乡申万泓鼎成长三号股权投资基金合伙企业(有限合伙)	COMP000100000289
COMPANY	申万宏源证券有限公司	COMP000100000290
COMPANY	申万宏源(国际)集团有限公司	COMP000100000291
COMPANY	宏源期货有限公司	COMP000100000292
COMPANY	华富利有限公司	COMP000100000293
COMPANY	申银万国创新资本管理有限公司	COMP000100000294
COMPANY	上海申银(香港)控股有限公司	COMP000100000295
COMPANY	宁波市鄞州区韵升小额贷款有限公司	COMP000100000296
COMPANY	宁波赛伯乐韵升新材料创业投资合伙企业(有限合伙)	COMP000100000297
COMPANY	上海赢量金融服务有限公司	COMP000100000298
COMPANY	苏州百得胜智能家居有限公司	COMP000100000299
COMPANY	辽宁德尔新材料有限公司	COMP000100000300
COMPANY	苏州德尔好易配智能互联家居有限公司	COMP000100000301
COMPANY	Crux Assets Limited	COMP000100000302
COMPANY	申万菱信(上海)资产管理有限公司	COMP000100000303
COMPANY	申万宏源网上证券(香港)有限公司	COMP000100000304
COMPANY	宏源恒利(上海)实业有限公司	COMP000100000305
COMPANY	申万宏源证券承销保荐有限责任公司	COMP000100000306
